@RELATION "dataset ONOS"

@ATTRIBUTE Src-Port NUMERIC
@ATTRIBUTE Dst-Port NUMERIC
@ATTRIBUTE Total-Len-Fwd-Pkts NUMERIC
@ATTRIBUTE Total-Len-Bwd-Pkts NUMERIC
@ATTRIBUTE Fwd-Pkt-Len-Min NUMERIC
@ATTRIBUTE Pkt-Len-Mean NUMERIC
@ATTRIBUTE Flow-IAT-Min NUMERIC
@ATTRIBUTE Fwd-IAT-Min NUMERIC
@ATTRIBUTE Bwd-IAT-Mean NUMERIC
@ATTRIBUTE Fwd-PSH-Flags NUMERIC
@ATTRIBUTE PSH-Flag-Cnt NUMERIC
@ATTRIBUTE ACK-Flag-Cnt NUMERIC
@ATTRIBUTE Label {0, 1}

@DATA
36040,22,4892,4318,52,195,1,4,450,13,25,46,0
36042,22,4908,5358,52,218,3,4,371,13,25,46,0
36042,22,4908,5358,52,218,3,4,371,13,25,46,0
45840,8180,763,9395,52,461,2,5,9,1,2,21,0
53178,25,282,384,40,66,1,4,2504,1,3,8,0
53178,25,282,384,40,66,1,4,2504,1,3,8,0
53178,25,40,0,40,40,0,0,0,0,0,0,0
53180,25,282,384,40,66,1,4,2504,1,3,8,0
53180,25,282,384,40,66,1,4,2504,1,3,8,0
53180,25,40,0,40,40,0,0,0,0,0,0,0
36054,22,4892,4318,52,195,1,4,449,13,25,46,0
36054,22,4892,4318,52,195,1,4,449,13,25,46,0
53188,25,282,384,40,66,2,4,2503,1,3,8,0
53188,25,282,384,40,66,2,4,2503,1,3,8,0
53188,25,40,0,40,40,0,0,0,0,0,0,0
36058,22,4892,4318,52,195,0,4,450,13,25,46,0
36058,22,4892,4318,52,195,0,4,450,13,25,46,0
35940,80,446,1340,52,178,4,5,19,1,2,9,0
20,49449,665,164,52,103,5,9,16,1,1,7,0
55108,21,759,856,52,64,1,4,14,6,14,24,0
20,37193,665,164,52,103,5,10,16,1,1,7,0
55110,21,811,856,52,64,2,4,14,6,14,25,0
55110,21,811,856,52,64,2,4,14,6,14,25,0
53194,25,282,384,40,66,1,4,2251,1,3,8,0
53194,25,282,384,40,66,1,4,2251,1,3,8,0
53194,25,40,0,40,40,0,0,0,0,0,0,0
20,55753,665,164,52,103,5,7,14,1,1,7,0
55116,21,812,856,52,64,1,4,15,6,14,25,0
55116,21,812,856,52,64,1,4,15,6,14,25,0
35954,80,446,1340,52,178,4,5,17,1,2,9,0
36076,22,4892,4318,52,195,1,5,450,13,25,46,0
36076,22,4892,4318,52,195,1,5,450,13,25,46,0
36078,22,4908,5358,52,218,1,4,449,13,25,46,0
36078,22,4908,5358,52,218,1,4,449,13,25,46,0
45870,8180,763,9395,52,461,2,4,9,1,2,21,0
20,57583,665,164,52,103,5,11,22,1,1,7,0
55126,21,812,856,52,64,0,4,16,6,14,25,0
55126,21,812,856,52,64,0,4,16,6,14,25,0
36086,22,4892,4318,52,195,2,4,403,13,25,46,0
36086,22,4892,4318,52,195,2,4,403,13,25,46,0
36088,22,4908,5358,52,218,2,4,449,13,25,46,0
45880,8180,763,9395,52,461,1,4,10,1,2,21,0
40782,139,100,60,40,53,17,30,0,0,0,1,0
54182,445,216,164,52,54,6,7,19,0,0,6,0
20,43917,665,164,52,103,8,6,13,1,1,7,0
55146,21,812,856,52,64,1,4,14,6,14,25,0
55146,21,812,856,52,64,1,4,14,6,14,25,0
35984,80,446,1340,52,178,4,4,16,1,2,9,0
53224,25,322,384,40,64,8,4,2503,1,3,8,0
53238,25,322,384,40,64,2,4,2505,1,3,8,0
36108,22,4892,4318,52,195,1,5,450,13,25,46,0
36108,22,4892,4318,52,195,1,5,450,13,25,46,0
45900,8180,763,9395,52,461,1,4,9,1,2,21,0
36112,22,4908,5358,52,218,1,4,378,13,25,46,0
36114,22,4908,5358,52,218,3,4,450,13,25,46,0
36114,22,4908,5358,52,218,3,4,450,13,25,46,0
20,52297,665,164,52,103,5,8,16,1,1,7,0
55162,21,811,856,52,64,0,4,14,6,14,25,0
55162,21,811,856,52,64,0,4,14,6,14,25,0
5353,5353,73,0,73,73,0,0,0,0,0,0,0
5353,5353,73,0,73,73,0,0,0,0,0,0,0
5353,5353,73,0,73,73,0,0,0,0,0,0,0
36120,22,4908,5358,52,218,1,4,452,13,25,46,0
20,39647,665,164,52,103,5,9,15,1,1,7,0
55168,21,812,856,52,64,2,4,13,6,14,25,0
55168,21,812,856,52,64,2,4,13,6,14,25,0
36128,22,4908,5358,52,218,1,4,383,13,25,46,0
20,35869,665,164,52,103,5,9,16,1,1,7,0
55176,21,811,856,52,64,2,5,14,6,14,25,0
55176,21,811,856,52,64,2,5,14,6,14,25,0
40818,139,100,60,40,53,11,32,0,0,0,1,0
54218,445,216,164,52,54,7,8,22,0,0,6,0
40822,139,100,60,40,53,23,32,0,0,0,1,0
54222,445,216,164,52,54,5,5,18,0,0,6,0
36144,22,4908,5358,52,218,0,5,451,13,25,46,0
36144,22,4908,5358,52,218,0,5,451,13,25,46,0
36028,80,446,1340,52,178,4,4,18,1,2,9,0
53278,25,282,384,40,66,3,4,2504,1,3,8,0
53278,25,40,0,40,40,0,0,0,0,0,0,0
36152,22,4892,4318,52,195,1,5,450,13,25,46,0
36152,22,4892,4318,52,195,1,5,450,13,25,46,0
20,47519,665,164,52,103,5,10,16,1,1,7,0
55198,21,812,856,52,64,2,3,16,6,14,25,0
55198,21,812,856,52,64,2,3,16,6,14,25,0
53288,25,282,271,40,61,3,5,3052,1,2,7,0
25,53288,113,40,113,76,0,0,0,1,1,1,0
